9.7822 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
27.5013 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.1, 0.1]), tex='sin', texRes=128.0, units='height', win=Window(...))
27.5132 	EXP 	Imported C:/Users/Neha N Shah/Desktop/conditions.xlsx as conditions, 1 conditions, 5 params
28.3805 	EXP 	window1: recordFrameIntervals = False
28.3833 	EXP 	window1: recordFrameIntervals = False
29.3791 	EXP 	fixation: autoDraw = True
29.5483 	EXP 	grating: autoDraw = True
29.5483 	EXP 	grating: tex = 'sin'
29.8505 	EXP 	grating: autoDraw = False
30.1692 	EXP 	window1: recordFrameIntervals = False
30.1723 	DATA 	Keypress: right
30.1837 	EXP 	fixation: autoDraw = False
30.1837 	EXP 	grating: autoDraw = False
30.1839 	EXP 	window1: recordFrameIntervals = False
31.1588 	EXP 	fixation: autoDraw = True
32.1650 	EXP 	fixation: autoDraw = False
32.1818 	EXP 	grating: autoDraw = True
32.1818 	EXP 	grating: tex = 'sin'
32.4814 	EXP 	grating: autoDraw = False
32.6499 	EXP 	window1: recordFrameIntervals = False
32.6510 	DATA 	Keypress: left
32.6644 	EXP 	fixation: autoDraw = False
32.6644 	EXP 	grating: autoDraw = False
32.6646 	EXP 	window1: recordFrameIntervals = False
33.6392 	EXP 	fixation: autoDraw = True
34.6460 	EXP 	fixation: autoDraw = False
34.6628 	EXP 	grating: autoDraw = True
34.6628 	EXP 	grating: tex = 'sin'
34.9623 	EXP 	grating: autoDraw = False
35.0142 	EXP 	window1: recordFrameIntervals = False
35.0153 	DATA 	Keypress: right
35.0288 	EXP 	fixation: autoDraw = False
35.0288 	EXP 	grating: autoDraw = False
35.0290 	EXP 	window1: recordFrameIntervals = False
36.0041 	EXP 	fixation: autoDraw = True
37.0102 	EXP 	fixation: autoDraw = False
37.0270 	EXP 	grating: autoDraw = True
37.0270 	EXP 	grating: tex = 'sin'
37.3267 	EXP 	grating: autoDraw = False
37.5286 	EXP 	window1: recordFrameIntervals = False
37.5297 	DATA 	Keypress: right
37.5431 	EXP 	fixation: autoDraw = False
37.5431 	EXP 	grating: autoDraw = False
37.5433 	EXP 	window1: recordFrameIntervals = False
38.5183 	EXP 	fixation: autoDraw = True
39.5244 	EXP 	fixation: autoDraw = False
39.5412 	EXP 	grating: autoDraw = True
39.5412 	EXP 	grating: tex = 'sin'
39.8409 	EXP 	grating: autoDraw = False
39.9763 	EXP 	window1: recordFrameIntervals = False
39.9773 	DATA 	Keypress: left
39.9906 	EXP 	fixation: autoDraw = False
39.9906 	EXP 	grating: autoDraw = False
39.9908 	EXP 	window1: recordFrameIntervals = False
40.9664 	EXP 	fixation: autoDraw = True
41.9720 	EXP 	fixation: autoDraw = False
41.9889 	EXP 	grating: autoDraw = True
41.9889 	EXP 	grating: tex = 'sin'
42.2885 	EXP 	grating: autoDraw = False
42.3238 	EXP 	window1: recordFrameIntervals = False
42.3249 	DATA 	Keypress: right
42.3385 	EXP 	fixation: autoDraw = False
42.3385 	EXP 	grating: autoDraw = False
42.3387 	EXP 	window1: recordFrameIntervals = False
43.3165 	EXP 	fixation: autoDraw = True
44.3197 	EXP 	fixation: autoDraw = False
44.3366 	EXP 	grating: autoDraw = True
44.3366 	EXP 	grating: tex = 'sin'
44.6360 	EXP 	grating: autoDraw = False
44.6881 	EXP 	window1: recordFrameIntervals = False
44.6892 	DATA 	Keypress: left
44.7028 	EXP 	fixation: autoDraw = False
44.7028 	EXP 	grating: autoDraw = False
44.7030 	EXP 	window1: recordFrameIntervals = False
45.6777 	EXP 	fixation: autoDraw = True
46.6842 	EXP 	fixation: autoDraw = False
46.7008 	EXP 	grating: autoDraw = True
46.7008 	EXP 	grating: tex = 'sin'
47.0008 	EXP 	grating: autoDraw = False
47.1358 	EXP 	window1: recordFrameIntervals = False
47.1369 	DATA 	Keypress: left
47.1502 	EXP 	fixation: autoDraw = False
47.1502 	EXP 	grating: autoDraw = False
47.1504 	EXP 	window1: recordFrameIntervals = False
48.1253 	EXP 	fixation: autoDraw = True
49.1318 	EXP 	fixation: autoDraw = False
49.1486 	EXP 	grating: autoDraw = True
49.1486 	EXP 	grating: tex = 'sin'
49.4481 	EXP 	grating: autoDraw = False
49.5336 	EXP 	window1: recordFrameIntervals = False
49.5347 	DATA 	Keypress: left
49.5481 	EXP 	fixation: autoDraw = False
49.5481 	EXP 	grating: autoDraw = False
49.5483 	EXP 	window1: recordFrameIntervals = False
50.5233 	EXP 	fixation: autoDraw = True
51.5297 	EXP 	fixation: autoDraw = False
51.5461 	EXP 	grating: autoDraw = True
51.5461 	EXP 	grating: tex = 'sin'
51.8457 	EXP 	grating: autoDraw = False
51.9144 	EXP 	window1: recordFrameIntervals = False
51.9155 	DATA 	Keypress: left
51.9289 	EXP 	fixation: autoDraw = False
51.9289 	EXP 	grating: autoDraw = False
51.9291 	EXP 	window1: recordFrameIntervals = False
52.9039 	EXP 	fixation: autoDraw = True
53.9103 	EXP 	fixation: autoDraw = False
53.9271 	EXP 	grating: autoDraw = True
53.9271 	EXP 	grating: tex = 'sin'
54.2268 	EXP 	grating: autoDraw = False
54.2456 	EXP 	window1: recordFrameIntervals = False
54.2467 	DATA 	Keypress: left
54.2599 	EXP 	fixation: autoDraw = False
54.2599 	EXP 	grating: autoDraw = False
54.2601 	EXP 	window1: recordFrameIntervals = False
55.2342 	EXP 	fixation: autoDraw = True
56.2413 	EXP 	fixation: autoDraw = False
56.2581 	EXP 	grating: autoDraw = True
56.2581 	EXP 	grating: tex = 'sin'
56.5577 	EXP 	grating: autoDraw = False
56.6433 	EXP 	window1: recordFrameIntervals = False
56.6443 	DATA 	Keypress: left
56.6577 	EXP 	fixation: autoDraw = False
56.6577 	EXP 	grating: autoDraw = False
56.6579 	EXP 	window1: recordFrameIntervals = False
57.6327 	EXP 	fixation: autoDraw = True
58.6390 	EXP 	fixation: autoDraw = False
58.6558 	EXP 	grating: autoDraw = True
58.6558 	EXP 	grating: tex = 'sin'
58.9555 	EXP 	grating: autoDraw = False
59.0073 	EXP 	window1: recordFrameIntervals = False
59.0084 	DATA 	Keypress: left
59.0221 	EXP 	fixation: autoDraw = False
59.0221 	EXP 	grating: autoDraw = False
59.0223 	EXP 	window1: recordFrameIntervals = False
59.9962 	EXP 	fixation: autoDraw = True
61.0033 	EXP 	fixation: autoDraw = False
61.0203 	EXP 	grating: autoDraw = True
61.0203 	EXP 	grating: tex = 'sin'
61.3197 	EXP 	grating: autoDraw = False
61.4384 	EXP 	window1: recordFrameIntervals = False
61.4394 	DATA 	Keypress: right
61.4530 	EXP 	fixation: autoDraw = False
61.4530 	EXP 	grating: autoDraw = False
61.4532 	EXP 	window1: recordFrameIntervals = False
62.4276 	EXP 	fixation: autoDraw = True
63.4342 	EXP 	fixation: autoDraw = False
63.4511 	EXP 	grating: autoDraw = True
63.4511 	EXP 	grating: tex = 'sin'
63.7508 	EXP 	grating: autoDraw = False
63.7860 	EXP 	window1: recordFrameIntervals = False
63.7870 	DATA 	Keypress: left
63.8006 	EXP 	fixation: autoDraw = False
63.8006 	EXP 	grating: autoDraw = False
63.8009 	EXP 	window1: recordFrameIntervals = False
64.7782 	EXP 	fixation: autoDraw = True
65.7820 	EXP 	fixation: autoDraw = False
65.7988 	EXP 	grating: autoDraw = True
65.7988 	EXP 	grating: tex = 'sin'
66.0672 	EXP 	window1: recordFrameIntervals = False
66.0683 	DATA 	Keypress: right
66.0818 	EXP 	fixation: autoDraw = False
66.0818 	EXP 	grating: autoDraw = False
66.0820 	EXP 	window1: recordFrameIntervals = False
67.0570 	EXP 	fixation: autoDraw = True
68.0632 	EXP 	fixation: autoDraw = False
68.0799 	EXP 	grating: autoDraw = True
68.0799 	EXP 	grating: tex = 'sin'
68.3798 	EXP 	grating: autoDraw = False
68.5483 	EXP 	window1: recordFrameIntervals = False
68.5493 	DATA 	Keypress: right
68.5626 	EXP 	fixation: autoDraw = False
68.5626 	EXP 	grating: autoDraw = False
68.5628 	EXP 	window1: recordFrameIntervals = False
69.5380 	EXP 	fixation: autoDraw = True
70.5440 	EXP 	fixation: autoDraw = False
70.5609 	EXP 	grating: autoDraw = True
70.5609 	EXP 	grating: tex = 'sin'
70.8605 	EXP 	grating: autoDraw = False
71.0289 	EXP 	window1: recordFrameIntervals = False
71.0299 	DATA 	Keypress: right
71.0435 	EXP 	fixation: autoDraw = False
71.0435 	EXP 	grating: autoDraw = False
71.0437 	EXP 	window1: recordFrameIntervals = False
72.0191 	EXP 	fixation: autoDraw = True
73.0252 	EXP 	fixation: autoDraw = False
73.0417 	EXP 	grating: autoDraw = True
73.0417 	EXP 	grating: tex = 'sin'
73.3413 	EXP 	grating: autoDraw = False
73.4766 	EXP 	window1: recordFrameIntervals = False
73.4776 	DATA 	Keypress: right
73.4911 	EXP 	fixation: autoDraw = False
73.4911 	EXP 	grating: autoDraw = False
73.4913 	EXP 	window1: recordFrameIntervals = False
74.4653 	EXP 	fixation: autoDraw = True
75.4726 	EXP 	fixation: autoDraw = False
75.4894 	EXP 	grating: autoDraw = True
75.4894 	EXP 	grating: tex = 'sin'
75.7889 	EXP 	grating: autoDraw = False
75.8576 	EXP 	window1: recordFrameIntervals = False
75.8586 	DATA 	Keypress: right
75.8721 	EXP 	fixation: autoDraw = False
75.8721 	EXP 	grating: autoDraw = False
75.8723 	EXP 	window1: recordFrameIntervals = False
76.8470 	EXP 	fixation: autoDraw = True
77.8535 	EXP 	fixation: autoDraw = False
77.8703 	EXP 	grating: autoDraw = True
77.8703 	EXP 	grating: tex = 'sin'
78.1698 	EXP 	grating: autoDraw = False
78.1885 	EXP 	window1: recordFrameIntervals = False
78.1895 	DATA 	Keypress: right
78.2031 	EXP 	fixation: autoDraw = False
78.2031 	EXP 	grating: autoDraw = False
78.2033 	EXP 	window1: recordFrameIntervals = False
79.1781 	EXP 	fixation: autoDraw = True
80.1845 	EXP 	fixation: autoDraw = False
80.2015 	EXP 	grating: autoDraw = True
80.2015 	EXP 	grating: tex = 'sin'
80.4863 	EXP 	window1: recordFrameIntervals = False
80.4873 	DATA 	Keypress: right
80.5009 	EXP 	grating: autoDraw = False
80.5009 	EXP 	fixation: autoDraw = False
80.5009 	EXP 	grating: autoDraw = False
80.5011 	EXP 	window1: recordFrameIntervals = False
81.4761 	EXP 	fixation: autoDraw = True
82.4825 	EXP 	fixation: autoDraw = False
82.4991 	EXP 	grating: autoDraw = True
82.4991 	EXP 	grating: tex = 'sin'
82.7674 	EXP 	window1: recordFrameIntervals = False
82.7684 	DATA 	Keypress: right
82.7820 	EXP 	fixation: autoDraw = False
82.7820 	EXP 	grating: autoDraw = False
82.7822 	EXP 	window1: recordFrameIntervals = False
83.7577 	EXP 	fixation: autoDraw = True
84.7636 	EXP 	fixation: autoDraw = False
84.7803 	EXP 	grating: autoDraw = True
84.7803 	EXP 	grating: tex = 'sin'
85.0797 	EXP 	grating: autoDraw = False
85.0819 	EXP 	window1: recordFrameIntervals = False
85.0829 	DATA 	Keypress: right
85.0964 	EXP 	fixation: autoDraw = False
85.0964 	EXP 	grating: autoDraw = False
85.0966 	EXP 	window1: recordFrameIntervals = False
86.0716 	EXP 	fixation: autoDraw = True
87.0779 	EXP 	fixation: autoDraw = False
87.0946 	EXP 	grating: autoDraw = True
87.0946 	EXP 	grating: tex = 'sin'
87.3941 	EXP 	grating: autoDraw = False
87.4795 	EXP 	window1: recordFrameIntervals = False
87.4805 	DATA 	Keypress: right
87.4940 	EXP 	fixation: autoDraw = False
87.4940 	EXP 	grating: autoDraw = False
87.4942 	EXP 	window1: recordFrameIntervals = False
88.4686 	EXP 	fixation: autoDraw = True
89.4754 	EXP 	fixation: autoDraw = False
89.4922 	EXP 	grating: autoDraw = True
89.4922 	EXP 	grating: tex = 'sin'
89.7918 	EXP 	grating: autoDraw = False
89.8271 	EXP 	window1: recordFrameIntervals = False
89.8281 	DATA 	Keypress: right
89.8419 	EXP 	fixation: autoDraw = False
89.8419 	EXP 	grating: autoDraw = False
89.8421 	EXP 	window1: recordFrameIntervals = False
90.8167 	EXP 	fixation: autoDraw = True
91.8233 	EXP 	fixation: autoDraw = False
91.8401 	EXP 	grating: autoDraw = True
91.8401 	EXP 	grating: tex = 'sin'
92.1396 	EXP 	grating: autoDraw = False
92.2082 	EXP 	window1: recordFrameIntervals = False
92.2092 	DATA 	Keypress: right
92.2227 	EXP 	fixation: autoDraw = False
92.2227 	EXP 	grating: autoDraw = False
92.2229 	EXP 	window1: recordFrameIntervals = False
93.1984 	EXP 	fixation: autoDraw = True
94.2041 	EXP 	fixation: autoDraw = False
94.2211 	EXP 	grating: autoDraw = True
94.2211 	EXP 	grating: tex = 'sin'
94.5206 	EXP 	grating: autoDraw = False
94.6725 	EXP 	window1: recordFrameIntervals = False
94.6735 	DATA 	Keypress: left
94.6870 	EXP 	fixation: autoDraw = False
94.6870 	EXP 	grating: autoDraw = False
94.6872 	EXP 	window1: recordFrameIntervals = False
95.6624 	EXP 	fixation: autoDraw = True
96.6685 	EXP 	fixation: autoDraw = False
96.6852 	EXP 	grating: autoDraw = True
96.6852 	EXP 	grating: tex = 'sin'
96.9849 	EXP 	grating: autoDraw = False
97.0534 	DATA 	Keypress: left
97.0702 	EXP 	window1: recordFrameIntervals = False
97.0846 	EXP 	fixation: autoDraw = False
97.0846 	EXP 	grating: autoDraw = False
97.0847 	EXP 	window1: recordFrameIntervals = False
98.0593 	EXP 	fixation: autoDraw = True
99.0660 	EXP 	fixation: autoDraw = False
99.0830 	EXP 	grating: autoDraw = True
99.0830 	EXP 	grating: tex = 'sin'
99.3826 	EXP 	grating: autoDraw = False
99.5176 	EXP 	window1: recordFrameIntervals = False
99.5187 	DATA 	Keypress: left
99.5323 	EXP 	fixation: autoDraw = False
99.5323 	EXP 	grating: autoDraw = False
99.5325 	EXP 	window1: recordFrameIntervals = False
100.5065 	EXP 	fixation: autoDraw = True
101.5138 	EXP 	fixation: autoDraw = False
101.5304 	EXP 	grating: autoDraw = True
101.5304 	EXP 	grating: tex = 'sin'
101.8301 	EXP 	grating: autoDraw = False
101.8322 	EXP 	window1: recordFrameIntervals = False
101.8333 	DATA 	Keypress: right
101.8468 	EXP 	fixation: autoDraw = False
101.8468 	EXP 	grating: autoDraw = False
101.8470 	EXP 	window1: recordFrameIntervals = False
102.8213 	EXP 	fixation: autoDraw = True
103.8280 	EXP 	fixation: autoDraw = False
103.8450 	EXP 	grating: autoDraw = True
103.8450 	EXP 	grating: tex = 'sin'
104.1446 	EXP 	grating: autoDraw = False
104.2465 	EXP 	window1: recordFrameIntervals = False
104.2475 	DATA 	Keypress: left
104.2610 	EXP 	fixation: autoDraw = False
104.2610 	EXP 	grating: autoDraw = False
104.2612 	EXP 	window1: recordFrameIntervals = False
105.2352 	EXP 	fixation: autoDraw = True
106.2426 	EXP 	fixation: autoDraw = False
106.2592 	EXP 	grating: autoDraw = True
106.2592 	EXP 	grating: tex = 'sin'
106.5588 	EXP 	grating: autoDraw = False
106.7607 	EXP 	window1: recordFrameIntervals = False
106.7617 	DATA 	Keypress: left
106.7753 	EXP 	fixation: autoDraw = False
106.7753 	EXP 	grating: autoDraw = False
106.7755 	EXP 	window1: recordFrameIntervals = False
107.7503 	EXP 	fixation: autoDraw = True
108.7567 	EXP 	fixation: autoDraw = False
108.7735 	EXP 	grating: autoDraw = True
108.7735 	EXP 	grating: tex = 'sin'
109.0729 	EXP 	grating: autoDraw = False
109.0749 	EXP 	window1: recordFrameIntervals = False
109.0760 	DATA 	Keypress: right
109.0896 	EXP 	fixation: autoDraw = False
109.0896 	EXP 	grating: autoDraw = False
109.0898 	EXP 	window1: recordFrameIntervals = False
110.0638 	EXP 	fixation: autoDraw = True
111.0710 	EXP 	fixation: autoDraw = False
111.0878 	EXP 	grating: autoDraw = True
111.0878 	EXP 	grating: tex = 'sin'
111.3875 	EXP 	grating: autoDraw = False
111.5060 	EXP 	window1: recordFrameIntervals = False
111.5071 	DATA 	Keypress: right
111.5205 	EXP 	fixation: autoDraw = False
111.5205 	EXP 	grating: autoDraw = False
111.5207 	EXP 	window1: recordFrameIntervals = False
112.4962 	EXP 	fixation: autoDraw = True
113.5019 	EXP 	fixation: autoDraw = False
113.5188 	EXP 	grating: autoDraw = True
113.5188 	EXP 	grating: tex = 'sin'
113.8183 	EXP 	grating: autoDraw = False
113.9869 	EXP 	window1: recordFrameIntervals = False
113.9880 	DATA 	Keypress: right
114.0014 	EXP 	fixation: autoDraw = False
114.0014 	EXP 	grating: autoDraw = False
114.0016 	EXP 	window1: recordFrameIntervals = False
114.9763 	EXP 	fixation: autoDraw = True
115.9828 	EXP 	fixation: autoDraw = False
115.9996 	EXP 	grating: autoDraw = True
115.9996 	EXP 	grating: tex = 'sin'
116.2993 	EXP 	grating: autoDraw = False
116.4349 	EXP 	window1: recordFrameIntervals = False
116.4360 	DATA 	Keypress: left
116.4491 	EXP 	fixation: autoDraw = False
116.4491 	EXP 	grating: autoDraw = False
116.4493 	EXP 	window1: recordFrameIntervals = False
117.4239 	EXP 	fixation: autoDraw = True
118.4306 	EXP 	fixation: autoDraw = False
118.4472 	EXP 	grating: autoDraw = True
118.4472 	EXP 	grating: tex = 'sin'
118.7468 	EXP 	grating: autoDraw = False
118.9319 	EXP 	window1: recordFrameIntervals = False
118.9330 	DATA 	Keypress: left
118.9466 	EXP 	fixation: autoDraw = False
118.9466 	EXP 	grating: autoDraw = False
118.9468 	EXP 	window1: recordFrameIntervals = False
119.9210 	EXP 	fixation: autoDraw = True
120.9281 	EXP 	fixation: autoDraw = False
120.9449 	EXP 	grating: autoDraw = True
120.9449 	EXP 	grating: tex = 'sin'
121.2443 	EXP 	grating: autoDraw = False
121.5296 	EXP 	window1: recordFrameIntervals = False
121.5307 	DATA 	Keypress: right
121.5441 	EXP 	fixation: autoDraw = False
121.5441 	EXP 	grating: autoDraw = False
121.5443 	EXP 	window1: recordFrameIntervals = False
122.5182 	EXP 	fixation: autoDraw = True
123.5255 	EXP 	fixation: autoDraw = False
123.5422 	EXP 	grating: autoDraw = True
123.5422 	EXP 	grating: tex = 'sin'
123.8418 	EXP 	grating: autoDraw = False
123.9272 	EXP 	window1: recordFrameIntervals = False
123.9282 	DATA 	Keypress: left
123.9418 	EXP 	fixation: autoDraw = False
123.9418 	EXP 	grating: autoDraw = False
123.9420 	EXP 	window1: recordFrameIntervals = False
124.9159 	EXP 	fixation: autoDraw = True
125.9232 	EXP 	fixation: autoDraw = False
125.9398 	EXP 	grating: autoDraw = True
125.9398 	EXP 	grating: tex = 'sin'
126.2394 	EXP 	grating: autoDraw = False
126.3755 	EXP 	window1: recordFrameIntervals = False
126.3766 	DATA 	Keypress: right
126.3893 	EXP 	fixation: autoDraw = False
126.3893 	EXP 	grating: autoDraw = False
126.3895 	EXP 	window1: recordFrameIntervals = False
127.3652 	EXP 	fixation: autoDraw = True
128.3707 	EXP 	fixation: autoDraw = False
128.3874 	EXP 	grating: autoDraw = True
128.3874 	EXP 	grating: tex = 'sin'
128.6871 	EXP 	grating: autoDraw = False
128.6891 	EXP 	window1: recordFrameIntervals = False
128.6901 	DATA 	Keypress: left
128.7036 	EXP 	fixation: autoDraw = False
128.7036 	EXP 	grating: autoDraw = False
128.7038 	EXP 	window1: recordFrameIntervals = False
129.6783 	EXP 	fixation: autoDraw = True
130.6852 	EXP 	fixation: autoDraw = False
130.7020 	EXP 	grating: autoDraw = True
130.7020 	EXP 	grating: tex = 'sin'
131.0014 	EXP 	grating: autoDraw = False
131.1534 	EXP 	window1: recordFrameIntervals = False
131.1545 	DATA 	Keypress: left
131.1679 	EXP 	fixation: autoDraw = False
131.1679 	EXP 	grating: autoDraw = False
131.1680 	EXP 	window1: recordFrameIntervals = False
132.1428 	EXP 	fixation: autoDraw = True
133.1493 	EXP 	fixation: autoDraw = False
133.1661 	EXP 	grating: autoDraw = True
133.1661 	EXP 	grating: tex = 'sin'
133.4656 	EXP 	grating: autoDraw = False
133.5843 	EXP 	window1: recordFrameIntervals = False
133.5853 	DATA 	Keypress: left
133.5990 	EXP 	fixation: autoDraw = False
133.5990 	EXP 	grating: autoDraw = False
133.5991 	EXP 	window1: recordFrameIntervals = False
134.5737 	EXP 	fixation: autoDraw = True
135.5802 	EXP 	fixation: autoDraw = False
135.5970 	EXP 	grating: autoDraw = True
135.5970 	EXP 	grating: tex = 'sin'
135.8966 	EXP 	grating: autoDraw = False
135.9987 	EXP 	window1: recordFrameIntervals = False
135.9998 	DATA 	Keypress: left
136.0132 	EXP 	fixation: autoDraw = False
136.0132 	EXP 	grating: autoDraw = False
136.0133 	EXP 	window1: recordFrameIntervals = False
136.9890 	EXP 	fixation: autoDraw = True
137.9946 	EXP 	fixation: autoDraw = False
138.0115 	EXP 	grating: autoDraw = True
138.0115 	EXP 	grating: tex = 'sin'
138.3111 	EXP 	grating: autoDraw = False
138.3629 	EXP 	window1: recordFrameIntervals = False
138.3639 	DATA 	Keypress: left
138.3775 	EXP 	fixation: autoDraw = False
138.3775 	EXP 	grating: autoDraw = False
138.3777 	EXP 	window1: recordFrameIntervals = False
139.3529 	EXP 	fixation: autoDraw = True
140.3590 	EXP 	fixation: autoDraw = False
140.3757 	EXP 	grating: autoDraw = True
140.3757 	EXP 	grating: tex = 'sin'
140.6753 	EXP 	grating: autoDraw = False
140.7439 	EXP 	window1: recordFrameIntervals = False
140.7450 	DATA 	Keypress: left
140.7586 	EXP 	fixation: autoDraw = False
140.7586 	EXP 	grating: autoDraw = False
140.7588 	EXP 	window1: recordFrameIntervals = False
141.7332 	EXP 	fixation: autoDraw = True
142.7399 	EXP 	fixation: autoDraw = False
142.7568 	EXP 	grating: autoDraw = True
142.7568 	EXP 	grating: tex = 'sin'
143.0563 	EXP 	grating: autoDraw = False
143.2084 	EXP 	window1: recordFrameIntervals = False
143.2095 	DATA 	Keypress: right
143.2228 	EXP 	fixation: autoDraw = False
143.2228 	EXP 	grating: autoDraw = False
143.2229 	EXP 	window1: recordFrameIntervals = False
144.1977 	EXP 	fixation: autoDraw = True
145.2041 	EXP 	fixation: autoDraw = False
145.2211 	EXP 	grating: autoDraw = True
145.2211 	EXP 	grating: tex = 'sin'
145.5206 	EXP 	grating: autoDraw = False
145.6891 	EXP 	window1: recordFrameIntervals = False
145.6902 	DATA 	Keypress: left
145.7037 	EXP 	fixation: autoDraw = False
145.7037 	EXP 	grating: autoDraw = False
145.7039 	EXP 	window1: recordFrameIntervals = False
146.6780 	EXP 	fixation: autoDraw = True
147.6850 	EXP 	fixation: autoDraw = False
147.7019 	EXP 	grating: autoDraw = True
147.7019 	EXP 	grating: tex = 'sin'
148.0015 	EXP 	grating: autoDraw = False
148.1865 	EXP 	window1: recordFrameIntervals = False
148.1875 	DATA 	Keypress: left
148.2014 	EXP 	fixation: autoDraw = False
148.2014 	EXP 	grating: autoDraw = False
148.2016 	EXP 	window1: recordFrameIntervals = False
149.1770 	EXP 	fixation: autoDraw = True
150.1826 	EXP 	fixation: autoDraw = False
150.1996 	EXP 	grating: autoDraw = True
150.1996 	EXP 	grating: tex = 'sin'
150.4989 	EXP 	grating: autoDraw = False
150.5677 	EXP 	window1: recordFrameIntervals = False
150.5687 	DATA 	Keypress: right
150.5823 	EXP 	fixation: autoDraw = False
150.5823 	EXP 	grating: autoDraw = False
150.5825 	EXP 	window1: recordFrameIntervals = False
151.5572 	EXP 	fixation: autoDraw = True
152.5637 	EXP 	fixation: autoDraw = False
152.5804 	EXP 	grating: autoDraw = True
152.5804 	EXP 	grating: tex = 'sin'
152.8799 	EXP 	grating: autoDraw = False
152.9653 	EXP 	window1: recordFrameIntervals = False
152.9663 	DATA 	Keypress: left
152.9799 	EXP 	fixation: autoDraw = False
152.9799 	EXP 	grating: autoDraw = False
152.9801 	EXP 	window1: recordFrameIntervals = False
153.9555 	EXP 	fixation: autoDraw = True
154.9613 	EXP 	fixation: autoDraw = False
154.9781 	EXP 	grating: autoDraw = True
154.9781 	EXP 	grating: tex = 'sin'
155.2776 	EXP 	grating: autoDraw = False
155.3796 	EXP 	window1: recordFrameIntervals = False
155.3807 	DATA 	Keypress: right
155.3942 	EXP 	fixation: autoDraw = False
155.3942 	EXP 	grating: autoDraw = False
155.3943 	EXP 	window1: recordFrameIntervals = False
156.3691 	EXP 	fixation: autoDraw = True
157.3757 	EXP 	fixation: autoDraw = False
157.3925 	EXP 	grating: autoDraw = True
157.3925 	EXP 	grating: tex = 'sin'
157.6921 	EXP 	grating: autoDraw = False
157.9105 	EXP 	window1: recordFrameIntervals = False
157.9115 	DATA 	Keypress: right
157.9251 	EXP 	fixation: autoDraw = False
157.9251 	EXP 	grating: autoDraw = False
157.9253 	EXP 	window1: recordFrameIntervals = False
158.8997 	EXP 	fixation: autoDraw = True
159.9064 	EXP 	fixation: autoDraw = False
159.9232 	EXP 	grating: autoDraw = True
159.9232 	EXP 	grating: tex = 'sin'
160.2228 	EXP 	grating: autoDraw = False
160.4247 	EXP 	window1: recordFrameIntervals = False
160.4257 	DATA 	Keypress: right
160.4392 	EXP 	fixation: autoDraw = False
160.4392 	EXP 	grating: autoDraw = False
160.4395 	EXP 	window1: recordFrameIntervals = False
161.4142 	EXP 	fixation: autoDraw = True
162.4206 	EXP 	fixation: autoDraw = False
